line,label
[javac] File48.java:382: error: unreported exception IOException must be caught or declared to be thrown,1
[INFO] Total time:  7.563 s,0
[INFO] Finished at: 2025-04-15T14:54:38+05:30,0
[javac] File126.java:799: error: cannot access class com.example.Helper,1
[javac] File295.java:188: error: unreported exception IOException must be caught or declared to be thrown,1
[javac] File227.java:242: error: package org.unknown does not exist,1
[javac] File49.java:984: error: missing return statement,1
[javac] File274.java:849: error: package org.unknown does not exist,1
[javac] File295.java:605: error: package org.unknown does not exist,1
[javac] File72.java:47: error: cannot find symbol,1
[javac] File496.java:823: error: illegal start of type,1
[javac] File386.java:411: error: incompatible types: double cannot be converted to int,1
[javac] File33.java:87: error: illegal start of type,1
[javac] File58.java:571: error: unreported exception IOException must be caught or declared to be thrown,1
[INFO] Total time:  4.621 s,0
[INFO] Downloading from snapshots: https://repo.maven.apache.org/maven2/org/example/pkg/2.26/pkg-18.19.jar,0
[javac] File258.java:991: error: package org.unknown does not exist,1
[INFO] Downloading from third-party: https://repo.maven.apache.org/maven2/org/example/pkg/1.2/pkg-7.84.jar,0
[ERROR] Build failed with exit code 77,1
[javac] File107.java:691: error: incompatible types: double cannot be converted to int,1
[ERROR] Build failed with exit code 104,1
[INFO] Downloading from third-party: https://repo.maven.apache.org/maven2/org/example/pkg/6.28/pkg-10.27.jar,0
[javac] File10.java:824: error: unreported exception IOException must be caught or declared to be thrown,1
[ERROR] Build failed with exit code 175,1
[INFO] Finished at: 2025-04-03T10:51:10+05:30,0
[javac] File252.java:299: error: package org.unknown does not exist,1
[INFO] Finished at: 2025-04-11T01:43:34+05:30,0
[javac] File180.java:965: error: cannot find symbol,1
[INFO] Finished at: 2025-04-07T16:15:16+05:30,0
[javac] File130.java:964: error: unreported exception IOException must be caught or declared to be thrown,1
[javac] File220.java:846: error: cannot find symbol,1
[javac] File233.java:164: error: cannot access class com.example.Helper,1
[INFO] Total time:  8.906 s,0
[INFO] Downloading from snapshots: https://repo.maven.apache.org/maven2/org/example/pkg/17.43/pkg-8.65.jar,0
[ERROR] Build failed with exit code 70,1
[INFO] Downloading from releases: https://repo.maven.apache.org/maven2/org/example/pkg/4.66/pkg-18.52.jar,0
[INFO] Finished at: 2025-04-06T17:01:11+05:30,0
[INFO] Finished at: 2025-04-05T04:14:04+05:30,0
[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/example/pkg/7.2/pkg-11.20.jar,0
[javac] File198.java:149: error: cannot access class com.example.Helper,1
[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/example/pkg/13.18/pkg-9.36.jar,0
[INFO] Finished at: 2025-04-14T18:26:24+05:30,0
[javac] File145.java:588: error: cannot access class com.example.Helper,1
[javac] File69.java:531: error: illegal start of type,1
[javac] File488.java:721: error: illegal start of type,1
[INFO] Total time:  14.590 s,0
[INFO] Total time:  6.408 s,0
[INFO] Total time:  0.719 s,0
[INFO] Finished at: 2025-04-15T14:27:38+05:30,0
[INFO] Total time:  16.453 s,0
[INFO] Total time:  7.580 s,0
[INFO] Downloading from third-party: https://repo.maven.apache.org/maven2/org/example/pkg/10.91/pkg-2.67.jar,0
[javac] File266.java:525: error: unreported exception IOException must be caught or declared to be thrown,1
[INFO] Downloading from releases: https://repo.maven.apache.org/maven2/org/example/pkg/8.76/pkg-7.28.jar,0
[javac] File136.java:853: error: missing return statement,1
[INFO] Downloading from third-party: https://repo.maven.apache.org/maven2/org/example/pkg/2.29/pkg-1.15.jar,0
[javac] File382.java:710: error: package org.unknown does not exist,1
[javac] File319.java:966: error: illegal start of type,1
[javac] File38.java:425: error: package org.unknown does not exist,1
[INFO] Finished at: 2025-04-08T13:46:35+05:30,0
[javac] File435.java:155: error: package org.unknown does not exist,1
[INFO] Total time:  18.475 s,0
[INFO] Finished at: 2025-04-16T18:23:36+05:30,0
[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/example/pkg/14.58/pkg-2.32.jar,0
[javac] File428.java:436: error: package org.unknown does not exist,1
[INFO] Total time:  15.824 s,0
[INFO] Finished at: 2025-04-08T09:56:51+05:30,0
[javac] File322.java:496: error: cannot access class com.example.Helper,1
[INFO] Total time:  2.125 s,0
[INFO] Total time:  11.629 s,0
[javac] File149.java:665: error: missing return statement,1
[javac] File257.java:517: error: cannot find symbol,1
[javac] File74.java:213: error: illegal start of type,1
[javac] File209.java:520: error: unreported exception IOException must be caught or declared to be thrown,1
[javac] File79.java:397: error: unreported exception IOException must be caught or declared to be thrown,1
[javac] File390.java:80: error: illegal start of type,1
[javac] File216.java:742: error: illegal start of type,1
[INFO] Finished at: 2025-04-15T20:18:36+05:30,0
[INFO] Finished at: 2025-04-07T19:27:03+05:30,0
[INFO] Finished at: 2025-04-14T23:06:53+05:30,0
[INFO] Finished at: 2025-04-17T21:46:32+05:30,0
[INFO] Total time:  1.259 s,0
[INFO] Finished at: 2025-04-17T07:51:11+05:30,0
[javac] File146.java:12: error: package org.unknown does not exist,1
[INFO] Downloading from plugins-release: https://repo.maven.apache.org/maven2/org/example/pkg/11.47/pkg-12.24.jar,0
